"","P1","P2","P3","P4","P5","P6","P7","P8","P9","Points"
"37","Troy Tulowitzki","Steven Moya","Mark Teixeira","Brian McCann","Rich Hill","Carlos Gonzalez","Nolan Arenado","Howie Kendrick","Bryce Harper","113.066099999952"
"38","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Bryce Harper","113.06473333328"
"39","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Jayson Werth","Bryce Harper","113.06253333328"
"40","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","George Springer","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.04573333328"
"41","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Josh Reddick","Rich Hill","Nolan Arenado","Howie Kendrick","Nelson Cruz","Bryce Harper","113.040466666624"
"42","Steven Moya","Miguel Cabrera","Jurickson Profar","Evan Gattis","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.036666666592"
"43","Mark Teixeira","Brian McCann","Jason Kipnis","Lonnie Chisenhall","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","113.033333333232"
"44","Russell Martin","Steven Moya","Miguel Cabrera","George Springer","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","113.031866666608"
"45","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","113.018799999952"
"46","Troy Tulowitzki","Miguel Cabrera","Nomar Mazara","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.010866666608"
"47","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","113.007966666608"
"48","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Brian McCann","Josh Reddick","Rich Hill","Nolan Arenado","Jayson Werth","Bryce Harper","113.005766666608"
"49","Steven Moya","Miguel Cabrera","Nomar Mazara","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.996999999936"
"50","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Evan Gattis","George Springer","Rich Hill","Nolan Arenado","Bryce Harper","112.995366666608"
"51","Steven Moya","Miguel Cabrera","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Jayson Werth","Bryce Harper","112.991899999936"
"52","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Nomar Mazara","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.990566666624"
"53","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Nomar Mazara","Jason Kipnis","Rich Hill","Nolan Arenado","Wilson Ramos","Bryce Harper","112.989599999952"
"54","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jed Lowrie","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.987666666624"
"55","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Rougned Odor","Evan Gattis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.985299999936"
"56","Russell Martin","Troy Tulowitzki","Miguel Cabrera","Starlin Castro","Josh Reddick","Rich Hill","Nolan Arenado","Nelson Cruz","Bryce Harper","112.983699999952"
"57","Russell Martin","Troy Tulowitzki","Prince Fielder","Jason Kipnis","George Springer","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.982066666576"
"58","Russell Martin","Steven Moya","Miguel Cabrera","Starlin Castro","George Springer","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.975099999936"
"59","Russell Martin","Steven Moya","Miguel Cabrera","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Nelson Cruz","Bryce Harper","112.96983333328"
"60","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jed Lowrie","Josh Reddick","Rich Hill","Nick Hundley","Nolan Arenado","Bryce Harper","112.960499999952"
"61","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Nomar Mazara","Jason Kipnis","Rich Hill","Nolan Arenado","Bryce Harper","112.958466666624"
"62","Russell Martin","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Rich Hill","Nolan Arenado","Jayson Werth","Bryce Harper","112.953366666624"
"63","Steven Moya","Miguel Cabrera","Stephen Vogt","Josh Reddick","Rich Hill","Trevor Story","Nolan Arenado","Howie Kendrick","Bryce Harper","112.95303333328"
"64","Troy Tulowitzki","Prince Fielder","Nomar Mazara","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.947199999904"
"65","Troy Tulowitzki","Steven Moya","Prince Fielder","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Bryce Harper","112.944299999904"
"66","Troy Tulowitzki","Prince Fielder","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Nolan Arenado","Jayson Werth","Bryce Harper","112.942099999904"
"67","Steven Moya","Miguel Cabrera","Nomar Mazara","Starlin Castro","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Bryce Harper","112.940233333264"
"68","Troy Tulowitzki","Miguel Cabrera","Brian McCann","Jason Kipnis","Josh Reddick","Rich Hill","Carlos Gonzalez","Anthony Rendon","Bryce Harper","112.939400000016"
"69","Steven Moya","Miguel Cabrera","Starlin Castro","Brian McCann","Rich Hill","Trevor Story","Nolan Arenado","Jayson Werth","Bryce Harper","112.935133333264"
"70","Troy Tulowitzki","Steven Moya","Miguel Cabrera","Jason Kipnis","Evan Gattis","Rich Hill","Nolan Arenado","Nelson Cruz","Bryce Harper","112.93333333328"
