,P1,P2,P3,P4,P5,P6,P7,P8,P9,Points,salary,variance,stdev
36,Troy Tulowitzki,Miguel Cabrera,Nomar Mazara,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,113.067633333,34700.0,524.980074221,22.9124436545
37,Troy Tulowitzki,Steven Moya,Mark Teixeira,Brian McCann,Rich Hill,Carlos Gonzalez,Nolan Arenado,Howie Kendrick,Bryce Harper,113.0661,35000.0,704.594476689,26.5441985505
38,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Bryce Harper,113.064733333,34200.0,578.209281531,24.0459826485
39,Troy Tulowitzki,Miguel Cabrera,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Jayson Werth,Bryce Harper,113.062533333,34800.0,676.69799011,26.0134194236
40,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,George Springer,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.045733333,34900.0,435.612565314,20.8713335778
41,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Josh Reddick,Rich Hill,Nolan Arenado,Howie Kendrick,Nelson Cruz,Bryce Harper,113.040466667,34800.0,659.036049653,25.6716974439
42,Steven Moya,Miguel Cabrera,Jurickson Profar,Evan Gattis,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.036666667,35000.0,316.174509135,17.7812966101
43,Mark Teixeira,Brian McCann,Jason Kipnis,Lonnie Chisenhall,Josh Reddick,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,113.033333333,35000.0,478.857472234,21.8828122561
44,Russell Martin,Steven Moya,Miguel Cabrera,George Springer,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,113.031866667,34900.0,459.541669335,21.436923038
45,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,113.0188,34800.0,597.78900052,24.4497239355
46,Troy Tulowitzki,Miguel Cabrera,Nomar Mazara,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.010866667,34800.0,509.704722522,22.5766410815
47,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,113.007966667,34300.0,564.366653023,23.7564023586
48,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,Brian McCann,Josh Reddick,Rich Hill,Nolan Arenado,Jayson Werth,Bryce Harper,113.005766667,34900.0,525.544872462,22.9247654832
49,Steven Moya,Miguel Cabrera,Nomar Mazara,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Bryce Harper,112.997,34800.0,615.926334081,24.8178632054
50,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jason Kipnis,Evan Gattis,George Springer,Rich Hill,Nolan Arenado,Bryce Harper,112.995366667,34900.0,500.090633557,22.3627063111
51,Steven Moya,Miguel Cabrera,Brian McCann,Rich Hill,Trevor Story,Nolan Arenado,Howie Kendrick,Jayson Werth,Bryce Harper,112.9919,34900.0,644.219143938,25.3814724541
52,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Nomar Mazara,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.990566667,35000.0,444.511148315,21.0834330296
53,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Nomar Mazara,Jason Kipnis,Rich Hill,Nolan Arenado,Wilson Ramos,Bryce Harper,112.9896,35000.0,523.537073286,22.8809325266
54,Russell Martin,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Jed Lowrie,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.987666667,34500.0,539.097247139,23.2184678034
55,Troy Tulowitzki,Steven Moya,Miguel Cabrera,Rougned Odor,Evan Gattis,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.9853,35000.0,541.687467461,23.2741802747
56,Russell Martin,Troy Tulowitzki,Miguel Cabrera,Starlin Castro,Josh Reddick,Rich Hill,Nolan Arenado,Nelson Cruz,Bryce Harper,112.9837,34900.0,482.371521446,21.9629579394
57,Russell Martin,Troy Tulowitzki,Prince Fielder,Jason Kipnis,George Springer,Josh Reddick,Rich Hill,Nolan Arenado,Bryce Harper,112.982066667,35000.0,452.217376068,21.265403266
58,Russell Martin,Steven Moya,Miguel Cabrera,Starlin Castro,George Springer,Rich Hill,Trevor Story,Nolan Arenado,Bryce Harper,112.9751,35000.0,468.921015344,21.6545841647
